name,description,coordinates,image_url,category,rating,city,country,website,address
Topkapi Palace Kitchens,,"41.0119276,28.9848069",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJWzrgz-C5yhQRg1iYJ0MZNeo/photos/AWYs27wsUswvVDBpmWer6OchQbl_ajA4OXknrfxyV9nQZccx_2qXp43RxuixV3PCYV4yWHN6CvJJd3AbytKvM18mjg6qJjItA3eQGox8X0pvHZGTAfkGzx2WLyR9Aab79Q6bIVW7Yy23fyj0LCllWxLSl2MWDZs7QbmesjgR&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.7,İstanbul,Türkiye,,"Cankurtaran, 34122 Fatih/İstanbul, Türkiye"
Casino de Monte-Carlo,"Elegant Beaux-Arts building, made famous in film and literature, with upscale casino & performances.","43.739097199999996,7.428068100000001",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJZQJu5IfCzRIR4_SMWQznbqY/photos/AWYs27zVBQ8vEote5NOdUYPV3syJ0fZMM0uE950GVzuzXC_IyFleDmOyltOolJCfHGEeZzXL7gIdYz0CTUi3yi1GS2ecpyOKEAdRfrsphxNF3ok-aU3nIt9vwr3WfmPbN6zsWG4hKRFy-hE5MFuAK9H3j3QK4-q4x5Dohkl2&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Casino,4.6,Monaco,Monaco,https://www.montecarlosbm.com/fr/casino-monaco/casino-monte-carlo,"Pl. du Casino, 98000 Monaco"
One World Trade Center,,"40.7127431,-74.0133795",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJy7cGfBlawokR5l2e93hsoEA/photos/AWYs27zQZuI318rFj-hZcqbQ7YZVo5Opzc7aitJ8XWAzlEMDq71NYxEOaFL-AHjPhg8EBrkYC8eE2bLdQXD-LZXTM-q90Qh1njJ5PDYzaPjDj3dQezJE3pzv0ZJnK3VpXylnVYfbAFeZ5C97_bdSQp9fVN_LoPeBJespl55W&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.8,New York,United States,https://www.wtc.com/about/buildings/1-world-trade-center,"285 Fulton St, New York, NY 10007, USA"
Pagan Temple of Garni,"Stunning 1st-century temple known for its columned, classically Greek design & ornamental friezes.","40.112261,44.7303231",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ5QXeWyGuakARX9Y_lzOlJjM/photos/AWYs27wGgJpQp0pzL3kqkIRBd1eD8kVaCE_ZlW4pPcpIgdxEIkK66WROPK4cq4Qq0pEaLtHx02wmDBVar5UYA90SQnipAziP8H4BlOXh2iRrVrNLSn5e_vQq3uIYxEVZWahk3csGFxYSQAqbd6d-QqWW9LgACRsFdfeBfbOJ&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.7,Garni,Armenia,http://www.mshakuyt.com/,"4P6J+W44, Marzpetuni St, Garni 2215, Armenia"
Tay Ninh Holy See,"This first Cao Dai church, completed in 1947, features unique architecture & a colorful interior.","11.303773999999999,106.13304699999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJG6M1CvVqCzERPFsWnD3imJQ/photos/AWYs27yG2dYeLB3oMQIozRDbpF3RKpyZklodwDaUWDVlAfyzFY4xfYA4QhDAWZ8_zy79evqGIRvZMA_PEn8L0YSUXXaCRvP_uU8l0Un8KCylb7u4n1O6BD3wGBcEeDkE_FjrkN4HUN1ej2WfgzIe2MPJTpzJMIrJWX9mHHYf&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Place of Worship,4.7,Tây Ninh,Vietnam,https://facebook.com/toathanhtayninh.official,"Phạm Hộ Pháp, TT. Hoà Thành, Hoà Thành, Tây Ninh 80606, Vietnam"
Mercer Williams House Museum,"Guided tours of 1860s Italianate mansion with antiques, portraits & Chinese porcelain.","32.071362,-81.0954668",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJaY3-hWme-4gRr_qbXgU8ibg/photos/AWYs27w-aOinowgDwG0OppZ9L5v_yVedY8wD2XOY2AFb3jJ-JHyhXpm94iplyP4atLjI8g5QVkj340H7_XTp_M6IKDoNeADjSbIuYXfBM7t9o7KKA_NQXT2syJfvAFmPBBaxn95ijIosSP80DKm7lNDBzdq5EsYelo23HGPH&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Museum,4.6,Savannah,United States,http://www.mercerhouse.com/,"429 Bull St, Savannah, GA 31401, USA"
lastminute.com London Eye,,"51.5031864,-0.11951919999999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJc2nSALkEdkgRkuoJJBfzkUI/photos/AWYs27zVkSMCGPKokpKGhVZc3NGOAoz8pQKxJcdFkFi1AwD8aAk-c1nNfyjJRR-bcxcmohnQpfttgMVKLNMz5SSFYTfyJQM5xPR_WBmIHS6XBPye4fUYGskeWrZxate02zd4onvSy4S7DRwv0FNQfJc9Gl4zdKsuOBMGIdbM&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Ferris wheel,4.5,,United Kingdom,https://www.londoneye.com/,"Riverside Building, County Hall, London SE1 7PB, UK"
Ollantaytambo Sanctuary,"Incan archaeological site used as a city, fort & royal estate with big terraces & a ceremonial area.","-13.257082899999999,-72.2658347",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJB9S1-EHqbZERPU4nK4cjPTo/photos/AWYs27w9k2FUZcJM_q2T-0ghBfGIfg0KnX5Wtap4RYSQ_0EwVE6s9IxdkSI0I9M2pgCYcsmcXlQ5AoCp4Hb1gmTCtOa8sNmXOZbaUWdrnC1fHoC82rJsNuAgaqn9EY04Gc3urzYwtMo4DTHMWUoXD44Auw4u0tjunbQXNYJq&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.8,Ollantaytambo,Peru,,"PPVM+5M7, Ollantaytambo 08676, Peru"
Burj Al Arab,"Opulent hotel featuring ornate suites, plus 9 restaurants, 4 pools, a private beach & a luxe spa.","25.1411914,55.185246799999994",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJLc8UZFdqXz4ROODwebhx2rM/photos/AWYs27xchefxm_S187lwHz38rJ3xGaAfvJW6cV0Tlt7bD7Ip0Iyh9QFk8DlrWTCAhm77Ap4VS98HI1GJYB_d2c9_2NngdDHboKZOwoAM1J_vVR732_I300N5AveNtFRf0TPawIXeZ0f6I0rU3BfLiZOAbQSIdUAc60T31vRG&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Hotel,4.7,Dubai,United Arab Emirates,https://www.jumeirah.com/en/stay/dubai/burj-al-arab-jumeirah?utm_source=google&utm_medium=google%20places&utm_campaign=hotel,Dubai - Umm Suqeim 3 - Dubai - United Arab Emirates
Mount Nyiragongo,"Active 3,470 m volcano known for frequent eruptions & the world's largest lava lake.","-1.5220377999999999,29.2494566",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJCcwafUav3RkRTmzJAaZ-RG0/photos/AWYs27zdC9vpGC309F3vB_rRODHn6B5enGAsEy-ev8d6IXfAtCsGp1U3V1o6NiZPbeWSJwrQB3PIlnbsHLrm3W5NiSsAbHuUCogPW8BKpJmjzehz9lXKC6FxCX8q7QFVuo9mjmyqQB4VhuGDg7B7dSwrohywhKuhQdUM3JqN&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,4.4,North-Kivu,Democratic Republic of the Congo,,"Mt Nyiragongo, Democratic Republic of the Congo"
Represa Hidroeléctrica Itaipú Binacional,,"-25.4076681,-54.5893745",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJW053572c9pQRQtEiJEhd1sg/photos/AWYs27xcXsC-2khIqCcJ9n2ncUOFMnjm6HzZVAN7viCgdCVwGu6-FH-qqVDouUVnUnjbPn17N9Iz-4OGNOay-rRChqK8uXE_eQ7H2PK-iw2mE9P77Us0pZi7kIEhaAhZUPhQLxByyh_aWGs5OKvikwMWfphVCSxBbE13fpcF&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,4.9,Paraná,Brazil,https://www.itaipu.gov.py/,"Tancredo Neves, 6.731 - Foz do Iguaçu, PR, Brazil"
Qasr al-Ashiq(Samarra),,"34.2411524,43.8088038",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJIcDeq2nTVhURakjjpPJ8qA0/photos/AWYs27xbux7zGIL-rby1aFVz5fu5Ss2rhN2O7eZRdvq3z89jZQUb_yBAwyHJOKzAbkjNZxhK30W85qFF-RGcEdRWIDrLAZ9NKLibhBLfbsi_uPOgEx0OuHMqW-IX5PGarI6zUxKdgNl9N0USc2E6FQ-_X57stMsqz9HoFgFM&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.2,Samarra,Iraq,,"Unnamed Road, 6RR5+FG7, Samarra, Saladin Governorate, Iraq"
Royal Natal National Park,Protected area known for 5km-long Drakensburg Amphitheatre cliff wall and mountain hiking trails.,"-28.703671399999998,28.920267199999998",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ3VOWitfG8h4RZeV3SJFrca8/photos/AWYs27yqchOLeGRYt4y7hqFenWQBJHhIQaKOjFBtw731UIR9_xNZ3WIR45F8Un3Qm0TQGFV85ejM93WbfxX9wNYr43pRVWiYL9IGj3JOZiDhHp3q_2D4zNHJoE22KDrC1k1TPTUgR1VEngVzNHjFgvVZ237u7J4KNjbWWtYo&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,National Park,4.6,,South Africa,,South Africa
Start of the Ladder of Kotor,,"42.426521699999995,18.7746209",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJX2cE1nIzTBMRPNFRhs7wf0w/photos/AWYs27wU2iPV192EoMr07LlajKJySNlWsdCqk2EwjZzZbZMRAkpKAX4aMzYgvqONH93nhsaU9vfD3ke8G88RMSHopGFS2HyDAkwS8oEyYDcA-WQlwIpHSA0dE6Fyz5_GEvqqI0D4Qyk7xRZCqsdERmqYUVtxSOt0I2qbbkq1&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Hiking Area,4.6,Dobrota,Montenegro,,"CQGF+JR5, Dobrota, Montenegro"
Gateway Of India Mumbai,"Grand, Indo-Saracenic-style, 26m-tall triumphal stone arch, built on the waterfront in 1924.","18.9219841,72.8346543",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJrVwNOsfR5zsRPHOcIKclCsc/photos/AWYs27znCs_6CHRyELfqePDXQ07CbRQ3JG8k00XLzjClZ05Av91NUaGs08tmuwlWlf7NiK2gme3gMvhipUm6-KyatfG2as7bUxYN1bJ1YMOXkKeLAwkIHDBNaPExmaopkynZo-vTln9PItOk4T8ivdm4T6DZno0wByQe_iwk&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.6,Mumbai,India,https://mumbaicity.gov.in/tourist-place/gateway-of-india/,"Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India"
Ukrainian Motherland Monument,Huge statue atop the National Museum of the History of the Great Patriotic War of 1941–1945.,"50.4265249,30.5630521",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJrU1d5nbP1EARj_9dQI85eyQ/photos/AWYs27xKUQ2kvYn1q2C6nXUWCKKbU0Mb-IQRpNaI4KvV13Wb9C64k2oltLIkt2ePZMDI7v5h1kEME-SftQI8GUQUmjRK6CwB7z_kUH8K7SEw94Z4Z0ratpNvEyvPO5_G1-V4h0vCeeHAg5G0Sg6cfFKmGABrydKbGnY5ODzk&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.8,Kyiv,Ukraine,https://warmuseum.kyiv.ua/,"Lavrska St, 27, Kyiv, Ukraine, 02000"
Sedlec Ossuary,"Garlands of human skulls, plus a bone chandelier & chalices decorate this small Gothic chapel.","49.9617927,15.288201999999998",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJT8VaY_xADEcRjlDxpcrJDDI/photos/AWYs27yDTw-8MCWt9nu0bf8HmD38x6yppTdSSP0yJFBc-pM3F56cQHJUEtin8DiFheLe2R2OLl8IU9eV77C0l0SosUdPWwRGYYXiUGMJ_OBHCRIfONHQmUWTynbeBzrQaIKFQF8aBx0RzuMDvrMhJF4ekmlK4Lk3_5etwqeH&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Church,4.5,Středočeský kraj,Czechia,https://www.sedlec.info/,"Zámecká, 284 03 Kutná Hora-Kutná Hora 3, Czechia"
Prasat Beng Mealea,Extensive ruins of an Angkor Wat–period sandstone temple enveloped by jungle vegetation.,"13.475565,104.22879689999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJYUuQX6E1EDERfcf6EfIfKjA/photos/AWYs27wMCiXcbZ3z3dAAPhc2KfZLUsbpB5dJ5CPOLzjlk1liMCTbp6fNbSppNKLWjR-HggRqXcXuL7DZ391mK04Nu-Qg5jlPQtSncmglIU4D4joG4Ui4x0HMi46Qi0A_gvPshxyWgLgdtxQsbhiNp79pm_0gd2hGkATipxqf&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.7,ភូមិបឹងមាលា,Cambodia,,"F6GH+6GF, ភូមិបឹងមាលា, Cambodia"
Igrexa de Santa María do Camiño,,"42.881595499999996,-8.5409427",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJUQsNuUX-Lg0RkPFXPx-B3hA/photos/AWYs27zbaX5jp-kSLoO2DlpsT5C-lgaYjvF3qfYQ9X4QLqDLd2KO98vc57Wfu-Pf4syWDTn32N1WR0U6pdabWYurMyq8B3XSNCxCd9wayk-JEVJxj874aUQpvQpJQ8PRd4rwCz293lgu0CxXrdCseRouDJ1YlJ32THTCLQGz&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Church,4.8,Santiago de Compostela,Spain,,"A, R. Travesa, 15704 Santiago de Compostela, A Coruña, Spain"
Kuwait Towers,"3 glittering, blue-tiled towers, 1 with a revolving viewing sphere, plus high-rise restaurants.","29.389636300000003,48.002670599999995",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJG17n0WKDzz8RNPUCfoRmUTs/photos/AWYs27yFk4euQGGxEdoce9rMRFDn8NeptfQ6OJA1S-ADp_Zzk0-vmzOWcREd-7RpLXm4kmQGji0zD6JK-hh6DsNxFw6-jA99XZBDxm3_leeXA46G_jR6MRhzCfgzvt2fospE4yvvt2vHGcHuUqOXOL6fZvcbqBiu62ezc5sm&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.5,Al Kuwayt,Kuwait,http://tec.com.kw/,"Arabian Gulf St, Al Kuwayt, Kuwait"
Gozo VOR Station,,"36.0373831,14.2049861",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJuw3giBe0DxMRQ2U2ijaGl7s/photos/AWYs27xE4qf8L4eGu2njwf0P1yR_dFe5j2yZnw9cSSiS1POwFJcWtR-1JBQG2f4Acp8fYjPwIOOuSXKNxeZg5FSGCTRCudZGXO02gX41h1q8T1sSAfLAnEVQHTGqOOYyX9UL04uOxs7Ys-E3hfTy8iXowrvBjDsMsPpW6rg1&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.2,Kerċem,Malta,,"26P3+XX5, Kerċem, Malta"
Longmen Grottoes,"Vast, UNESCO–listed site with thousands of statues of Buddha carved in caves excavated from cliffs.","34.5594987,112.46787789999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJEV6UAIJ7eDYR6blusosDo6c/photos/AWYs27x82NosBRrr_ldvyQRWr91t9G7XsRclXko0dpzvT6LjPeCy6-LTy5XR2H2WIq7YpZjLOFDrAAL7NZHOTawaJJ-rVWWT_Le-S5532i6r4gBhEbAIe_PvSZVnVCVsVL2qTuOfDr_fsst6lAZa4JRvtAVJM9IHtu812bNC&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Place,4.6,Luo Yang Shi,China,,"13 Long Men Zhong Jie, Luo Long Qu, Luo Yang Shi, He Nan Sheng, China, 471023"
Hotel del Coronado,"Grand beachfront hotel with a spa & a fitness center, plus outdoor pools & open-air dining.","32.6805447,-117.17822400000001",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJfX-aw82s3oARR6xrvVBVJXY/photos/AWYs27yDtxtspPiRfCE4RmSimlOUBSnzHUllwgDw2qKdePkGg9aFEXFrqTIUfyJNUZOtrD2x2Fr_0sWHG-icnfpTPXamVnpCbfJHdxDMhAZtC5uwJeJZSB2nrQQIH-jANuLCDVzkq0GO31j2tz7vk5Y9zjSmGsxTdVGPVKZJ&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Hotel,4.5,Coronado,United States,https://hoteldel.com/?SEO_id=GMB-AMER-QQ-SANQQQQ&y_source=1_NzcwOTIyNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,"1500 Orange Ave, Coronado, CA 92118, USA"
Belfort,"Medieval bell tower with 366 steps leading to views, plus treasure chamber & 47-belled carillon.","51.2081466,3.2248010999999996",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJiw5pqdpQw0cRWIG9Y_lvVGk/photos/AWYs27xEI3IwtcZOA4s8ScFcrgf-eK26V2A6uZvGpdEZr_Zc4SX80PgZlIaYe3JlH3wStKCFmSMZd3JFsKGaHsSDrz2PLV9uhRzOIHMUu9_R0TFHEmoONVJ2fbZh5shqn0hL-tDASPxpWMyfEtVRFGzHc-9EBvWhG4XsQyuL&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.6,Brugge,Belgium,https://www.museabrugge.be/bezoek-onze-musea/onze-musea-en-monumenten/belfort,"Markt 7, 8000 Brugge, Belgium"
Monument to Those Who Saved the World,"Memorial statue to the ""liquidators"" who helped clean up the site of the Chernobyl nuclear accident.","51.2803939,30.208213399999998",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJMxFbpjuPKkcR4K1qqf8lUck/photos/AWYs27zD0YTgMBbcPv3eMeHO2qi7rNobTy55jkvLxqBJ0h4yFM6vZ-iZQs10uW_SXahk4TXTlaqccKytFxkgIVxc2SngAYAOyfvI3kOFdMmbZRXDM6LDBRC2UJI8n0VjvVlfVHZRtFv0utbzdgGyEFOlf7kI0t8B4f7v3Ag2&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Monument,4.8,Chornobyl',Ukraine,,"Kirova St, Chornobyl', Kyivs'ka oblast, Ukraine, 07270"
Badlands National Park,"244,000 rugged acres of geological formations, prairie grass & wildlife like bison & bighorn sheep.","43.8553804,-102.33969119999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJIyAFGAyHfocR8Hfm2jFeaGk/photos/AWYs27xCSN3V4G6-OxWUW9OSPvOMmn8z0LjaLfNdE58vB0O335CroiJ8PcTmcGXb-cXXXo14XxLIyGOGd4q8rKlNUMfj2-TZjBMSZ0sDG6xlKvflFyZudU5fKK8HG6DpRE6bFeQGgwA7CThgtnRrF3V_VVg7GAeHRrlUJirn&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,National Park,4.9,South Dakota,United States,https://www.nps.gov/badl/index.htm,"South Dakota, USA"
Prešeren Square,Multiple streets terminate at this circular pedestrian hub & gathering place for festivals & events.,"46.051476,14.5060365",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJo4WJTGItZUcReN-HhOSwHds/photos/AWYs27yKkHylSWBeUK5_bbC6egj7E3T7iS9QVaMw9X86cNhNsBdPNAio6ALLldODOFBsftYxMq2SjNY4lZF1vPB-i9NzhifrKAVLa0Y4Kd8JKUZVfJXogZg5WVZmBNjnjI2_3RMbJJ__oIvvuio8531pI_O096dVOepi8XyJ&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.7,Ljubljana,Slovenia,,"Prešernov trg 1, 1000 Ljubljana, Slovenia"
Jiuzhai Valley National Park,"Mountainous national park known for colorful lakes, waterfalls, Tibetan villages & rare wildlife.","33.26004210000001,103.91859939999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJKWccnva99zYRxgz2tcjo_ck/photos/AWYs27y6oVYmOmESjJwtUhiumJPf6DXb9q6sgtVvgkAcR_K5YERkSFKNu52IYtuU8fB2xaZoW-6E1mGxDS6cPxhdMLFlVXBhUskIT3EnlPZmHnBI2x9nPsuteglJ8-ul3mYSLMS-sP8H3wibKwB5prHziO2ZZPiExU_ZLh0Z&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,National Park,4.7,Ngawa Tibetan and Qiang Autonomous Prefecture,China,https://www.jiuzhai.com/,"Jiuzhaigou County, Ngawa Tibetan and Qiang Autonomous Prefecture, Sichuan, China, 623402"
Monumento Por La Paz,,"19.4527943,-99.1434761",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJt1az-iD50YUR0SLRDFUGUfg/photos/AWYs27wVEz1GjGPt85rverter0g43DD505Q73BsDYt5K43z5XA-WJzpep1na0WJTzHFNXDOM-_5Gn1CDT4MhY8jpfVgWlDWjW0ViJ1i_ItFGgOJempVNuEV7fByGERmhgzSxvKQIyhI7cmoMdkyzM8R4nVkHoqIJzs_Mg7bl&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Monument,4.4,Ciudad de México,Mexico,,"Av. Ricardo Flores Magón, Tlatelolco, Cuauhtémoc, 06900 Ciudad de México, CDMX, Mexico"
Prizren Fortress,"Once the capital of the Serbian Empire, this medieval fortress is built on a hill with scenic views.","42.2093655,20.745397099999998",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ_bRMzw-VUxMRPXDn8OJHovg/photos/AWYs27wsgH3uGmB_VF1R-gjfTXpOe1hcnnLIsJ-Wn7_gzUYPODyHvAEEdIf3Ce0p-2b7ON3I-VFdZ2CuF93ctforaiuM1d9CmmZTU4a3t9wodsTe3cZYPUf2n9qWv0NEjSVEMMcyCnUXSHoyTVVhNJ2ygGTQycOBDIInnLlw&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,4.7,Prizren,,,"6P5W+W73, Prizren"
Puerta del Sol,"Busy central square featuring well-known buildings, statues & a clock that rings in the New Year.","40.4169473,-3.7035285",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJx319oIAoQg0RecYd2lfuSmk/photos/AWYs27yN7rK0UK2XrR0avKdKDJOc4wI01vl-mI3OgyHOY48DcjEag6mHOxyFcsD4L72PafJlNXbrB5wE6mmfzXSCz960UmuIXpXE0GDUK4Vqrkgrxc8TS8QFff5vrwl-BTM3D5OpTR5vUn3-3jkgdQ6cBj--J5GFXAUhiozt&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Town Square,,Madrid,Spain,,"Puerta del Sol, Centro, Madrid, Spain"
Caisteal Maol,"Stark 1400s castle ruins on a boggy hilltop, offering views of the vibrant landscape & loch beyond.","57.2726769,-5.7203162",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJl9s093acjkgRi1a-zD5q5Pk/photos/AWYs27yBzRJTba0aWeOabgpJDbUCi5JN6gwa_NyDzEgkgr9EMMzbwaKG5b9Vz_OFTeq8EPNFmL97I0N6rsioTqGWmOV3AUcTacGMSgrOuVNDaEcFiRlqzFsOdSHksqAzN8JL7T1cn4kE9CykRBx7aA2d2eQ7S8RorspMGzaE&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.4,Kyleakin,United Kingdom,http://www.ancientmonuments.info/sc951-caisteal-maol-castle-moyle-kyleakin-skye,"Kyleakin, Isle of Skye IV41 8PL, UK"
Devils Tower National Monument,"Held sacred by Native American tribes, this climbable rock formation is the first national monument.","44.5902098,-104.7146168",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJOT5U8z8GM1MResed1BOdJKk/photos/AWYs27wnx5nQzvICrfgZ8-kbTv0GhNxSljDKYt3YTurgvRXdEN4tX8xFYhgvJceUmrauqOy4t72_h_UvilsjkXLe3_xOV5IvEyBy-U5kMRLqyZOOLMFolQ_rzphJYAxQz1Z8fPzge86v9b_TVhzPKb02nNbhFTs8mAPqSF0t&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,National Park,4.8,Devils Tower,United States,https://www.nps.gov/deto/index.htm,"WY-110, Devils Tower, WY 82714, USA"
Reconocimiento UNESCO al Centro Histórico de Vilna,,"54.678371999999996,25.2868373",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJRWsGcwCV3UYRLzii1jpYekc/photos/AWYs27wuGsOsMBxbLS87flxV9UQ2TAkmlMSgAUA1HVJCXszRivivyOBF-Q_uvQj7_nP4mNczjsNQYnxXfu3c4EmCEcfRqf4cQZtJiRW8UEBOn7fUm6WJRZfHVz7georkGnFp7_FhqeG99ua__8L8qnwvO2jqMN8xYMETWgM9&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4,Vilnius,Lithuania,,"Town hall of Vilnius, Rotušės a., Vilnius, 01128 Vilniaus m. sav., Lithuania"
Malibu,,"34.0380585,-118.69234379999997",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJP9YI-akd6IARWozqsnEtt5M/photos/AWYs27w_4yceORnXj004Ij5j1sc9Ovh6WICaFMBB45Bu6ydnPg-S4xLR_M0GZMmyfILnR0v2HrlsmqCXjJTHmvz-zEzknQ4fuG20JDMQxR_7kc5B1CI_amGGL1JSaOqkGpiq9dzvqicT-KU7b1raDKB9z08f4ddULlLB5-1a&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,,Malibu,United States,http://www.ci.malibu.ca.us/,"Malibu, CA, USA"
悬空寺,"Ancient monastery built on the side of a cliff, home to 3 traditional religious disciplines.","39.658173999999995,113.712316",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJw4SrEjUU4zURf3nSpJT29X4/photos/AWYs27wsiYLbBw5ZZStkU1yrrvPQ9WN3hEzlM-R5uK6BHhv1VQ0VlQ00JX8W3cyunKRofK42JaVkG01GK4g00CLAZhhHns8a5yRS7elNGIF4OOtyUXq_dMMOa7WcWllYGqAvOOJV7aY2eFOVArGNYvLj1GT19tZDPGP7o_em&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Place of Worship,4.6,Datong,China,,"Hunyuan County, Datong, China, 037499"
